antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Weather_Snow', 'Tier_Name=Tier_3_Efficient'})","frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing'})",0.0021932950788250516,0.003085018448416311,0.0011459880684268533,0.5224960742814229,169.36562390725584,1.0,0.0011392217126458572,2.0877629017423573,0.9962807517802973,0.27732280040585594,0.5210184072312795,0.4469824318596708
"frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing'})","frozenset({'Weather_Snow', 'Tier_Name=Tier_3_Efficient'})",0.003085018448416311,0.0021932950788250516,0.0011459880684268533,0.37146878943791867,169.3656239072558,1.0,0.0011392217126458572,1.5875213325188082,0.9971719078422252,0.27732280040585594,0.37008720480412666,0.4469824318596708
"frozenset({'Weather_Snow', 'Airline=Alaska Airlines Inc.'})","frozenset({'Weather_Freezing', 'Tier_Name=Tier_3_Efficient'})",0.0014418814988739277,0.006267969236666827,0.0011459880684268533,0.7947865821996054,126.80128957082376,1.0,0.0011369503995489925,4.84243204667011,0.9935462207879535,0.17459050052470687,0.7934921976473271,0.4888095078325658
"frozenset({'Weather_Freezing', 'Tier_Name=Tier_3_Efficient'})","frozenset({'Weather_Snow', 'Airline=Alaska Airlines Inc.'})",0.006267969236666827,0.0014418814988739277,0.0011459880684268533,0.1828324334655263,126.80128957082376,1.0,0.0011369503995489925,1.2219747324724495,0.9983714061343412,0.17459050052470687,0.18165247330713863,0.4888095078325658
frozenset({'Weather_Snow'}),"frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing', 'Tier_Name=Tier_3_Efficient'})",0.0237414047151277,0.0014939922852077244,0.0011459880684268533,0.04826959828946622,32.30913490477283,1.0,0.0011105185929424582,1.0491479582034884,0.9926150773434269,0.04757227840940879,0.046845592958734826,0.40766692302966845
"frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing', 'Tier_Name=Tier_3_Efficient'})",frozenset({'Weather_Snow'}),0.0014939922852077244,0.0237414047151277,0.0011459880684268533,0.7670642477698707,32.30913490477283,1.0,0.0011105185929424582,4.191106714783636,0.9704989189636128,0.04757227840940879,0.7613995376274677,0.40766692302966845
"frozenset({'Airline=Hawaiian Airlines Inc.', 'Delay_Class=OnTime'})","frozenset({'Tier_Name=Tier_3_Efficient', 'Weather_Wind'})",0.009505875940390053,0.004969542143849729,0.0011852209018160908,0.12468297600856948,25.08942924709397,1.0,0.0011379810507161153,1.1367658009424157,0.969357165733398,0.08918008405349678,0.1203113260700071,0.1815899889233193
"frozenset({'Tier_Name=Tier_3_Efficient', 'Weather_Wind'})","frozenset({'Airline=Hawaiian Airlines Inc.', 'Delay_Class=OnTime'})",0.004969542143849729,0.009505875940390053,0.0011852209018160908,0.2384970018380691,25.08942924709397,1.0,0.0011379810507161153,1.3007094213028756,0.9649378762160606,0.08918008405349678,0.23118877773766372,0.1815899889233193
"frozenset({'Tier_Name=Tier_3_Efficient', 'Weather_Wind'})",frozenset({'Airline=Hawaiian Airlines Inc.'}),0.004969542143849729,0.011937263405050554,0.0014859061287076526,0.299002621508422,25.04783645654636,1.0,0.0014265833951340188,1.4095098882125425,0.9648713610493984,0.09635664485055641,0.29053353341980365,0.2117394501957424
frozenset({'Airline=Hawaiian Airlines Inc.'}),"frozenset({'Tier_Name=Tier_3_Efficient', 'Weather_Wind'})",0.011937263405050554,0.004969542143849729,0.0014859061287076526,0.1244762788830628,25.04783645654636,1.0,0.0014265833951340188,1.1364974287467096,0.9716755390106847,0.09635664485055641,0.12010359662426529,0.2117394501957424
"frozenset({'Delay_Class=OnTime', 'Tier_Name=Tier_3_Efficient', 'Weather_Wind'})",frozenset({'Airline=Hawaiian Airlines Inc.'}),0.004037088504480329,0.011937263405050554,0.0011852209018160908,0.2935830860534125,24.593834959627348,1.0,0.0011370291129486076,1.3986963181202332,0.9632280403358624,0.08014134848070634,0.2850485219379556,0.19643528722500525
frozenset({'Airline=Hawaiian Airlines Inc.'}),"frozenset({'Delay_Class=OnTime', 'Tier_Name=Tier_3_Efficient', 'Weather_Wind'})",0.011937263405050554,0.004037088504480329,0.0011852209018160908,0.099287488396598,24.593834959627344,1.0,0.0011370291129486076,1.105750057498988,0.9709296464241672,0.08014134848070634,0.09563649287812477,0.19643528722500525
"frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing'})","frozenset({'Weather_Snow', 'Delay_Class=OnTime'})",0.003085018448416311,0.01815207364991135,0.001087887536537448,0.3526356664401515,19.426742819648798,1.0,0.0010318880544504599,1.5166852349602256,0.9514598380721032,0.05399158727091664,0.34066741275672496,0.20628376321570357
"frozenset({'Weather_Snow', 'Delay_Class=OnTime'})","frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing'})",0.01815207364991135,0.003085018448416311,0.001087887536537448,0.059931859991255644,19.426742819648798,1.0,0.0010318880544504599,1.0604709798401533,0.9660605695270539,0.05399158727091664,0.05702275780264005,0.20628376321570357
"frozenset({'Airline=Alaska Airlines Inc.', 'Delay_Class=OnTime', 'Weather_Freezing'})",frozenset({'Weather_Snow'}),0.002560616225022761,0.0237414047151277,0.001087887536537448,0.42485380116959065,17.895057443626307,1.0,0.0010270949104190601,1.6974094539269258,0.9465423800032055,0.04314594196529321,0.41086695512004,0.23533808780372725
frozenset({'Weather_Snow'}),"frozenset({'Airline=Alaska Airlines Inc.', 'Delay_Class=OnTime', 'Weather_Freezing'})",0.0237414047151277,0.002560616225022761,0.001087887536537448,0.045822374437863855,17.895057443626307,1.0,0.0010270949104190601,1.0453393131990012,0.9670784490781396,0.04314594196529321,0.043372819357813695,0.23533808780372725
frozenset({'Weather_Snow'}),"frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing'})",0.0237414047151277,0.003085018448416311,0.0012930363218170491,0.05446334525408869,17.65413924252134,1.0,0.0012197936502795622,1.0543377420090383,0.9662973158782678,0.050641003084790685,0.05153732038985703,0.2367987049540029
"frozenset({'Airline=Alaska Airlines Inc.', 'Weather_Freezing'})",frozenset({'Weather_Snow'}),0.003085018448416311,0.0237414047151277,0.0012930363218170491,0.4191340646539171,17.65413924252134,1.0,0.0012197936502795622,1.680695210166202,0.9462753370990925,0.050641003084790685,0.40500812166822847,0.2367987049540029
frozenset({'Weather_Snow'}),"frozenset({'Weather_Rain', 'Tier_Name=Tier_4_MegaHub', 'Weather_Freezing'})",0.0237414047151277,0.0028705855575255164,0.001156020892232498,0.048692185913325386,16.962457637144496,1.0,0.0010878691587418842,1.0481669546673407,0.96393136332028,0.04541256610410772,0.04595351384897228,0.22570237881999083
"frozenset({'Weather_Rain', 'Tier_Name=Tier_4_MegaHub', 'Weather_Freezing'})",frozenset({'Weather_Snow'}),0.0028705855575255164,0.0237414047151277,0.001156020892232498,0.40271257172665625,16.962457637144496,1.0,0.0010878691587418842,1.6344870979572927,0.9437554093540166,0.04541256610410772,0.3881872782906918,0.22570237881999083
"frozenset({'Airline=Alaska Airlines Inc.', 'Delay_Class=OnTime'})","frozenset({'Weather_Snow', 'Tier_Name=Tier_3_Efficient'})",0.028987373616368776,0.0021932950788250516,0.0010588372705927452,0.036527533836140096,16.654181276742708,1.0,0.0009952594066919005,1.0356359314491046,0.9680152382781876,0.03515182246614568,0.03440970940361379,0.2596442543899073
"frozenset({'Weather_Snow', 'Tier_Name=Tier_3_Efficient'})","frozenset({'Airline=Alaska Airlines Inc.', 'Delay_Class=OnTime'})",0.0021932950788250516,0.028987373616368776,0.0010588372705927452,0.4827609749436745,16.654181276742708,1.0,0.0009952594066919005,1.8772996223127043,0.94202114925068,0.03515182246614568,0.4673199801915111,0.2596442543899073
frozenset({'Airline=Alaska Airlines Inc.'}),"frozenset({'Weather_Snow', 'Weather_Freezing', 'Tier_Name=Tier_3_Efficient'})",0.03524755618381331,0.00195385500023959,0.0011459880684268533,0.03251255384772247,16.640208123804296,1.0,0.0010771194545308837,1.031585628288011,0.9742443295355594,0.03178406934101943,0.030618523001749796,0.3095196123009305
"frozenset({'Weather_Snow', 'Weather_Freezing', 'Tier_Name=Tier_3_Efficient'})",frozenset({'Airline=Alaska Airlines Inc.'}),0.00195385500023959,0.03524755618381331,0.0011459880684268533,0.5865266707541386,16.640208123804296,1.0,0.0010771194545308837,2.333288208881113,0.9417446302482525,0.03178406934101943,0.5714202831035895,0.3095196123009305
frozenset({'Airline=Alaska Airlines Inc.'}),"frozenset({'Weather_Snow', 'Delay_Class=OnTime', 'Tier_Name=Tier_3_Efficient'})",0.03524755618381331,0.0018473872729886434,0.0010588372705927452,0.030040019372435067,16.260813209910932,1.0,0.0009937213838948165,1.0290657683435618,0.9727909648535085,0.029382677060651893,0.028244811204193015,0.30159697329163215
"frozenset({'Weather_Snow', 'Delay_Class=OnTime', 'Tier_Name=Tier_3_Efficient'})",frozenset({'Airline=Alaska Airlines Inc.'}),0.0018473872729886434,0.03524755618381331,0.0010588372705927452,0.5731539272108293,16.260813209910932,1.0,0.0009937213838948165,2.2601881692670522,0.9402394470527757,0.029382677060651893,0.5575589618610002,0.30159697329163215
