Dep_Airport,AIRPORT,CITY,STATE,Performance_Tier,total_flights,avg_dep_delay,delay_volatility,unique_airlines,LATITUDE,LONGITUDE
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,3,2822,9.233876683203402,65.74071624886304,5,38.13864,-78.45286
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,0,24183,12.666997477566886,79.20278837258957,14,32.89865,-80.04051
CID,The Eastern Iowa Airport,Cedar Rapids,IA,0,6952,11.347813578826237,77.65361466744606,10,41.88459,-91.71087
CLE,Cleveland Hopkins International Airport,Cleveland,OH,0,40906,11.456998973255757,63.31785827212607,13,41.41089,-81.8494
CLL,Easterwood Airport,College Station,TX,2,1058,11.454631379962192,76.08592166862958,2,30.58859,-96.36382
CLT,Charlotte Douglas International Airport,Charlotte,NC,4,192870,13.96274174314305,57.20491695019205,12,35.21401,-80.94313
CMH,Port Columbus International Airport,Columbus,OH,0,40726,7.8718509060551,51.77552251294728,12,39.99799,-82.89188
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,3,1382,5.740231548480463,58.14764188813914,1,40.03925,-88.27806
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,2,11393,11.96989379443518,63.641030100215936,6,38.80581,-104.70025
COU,Columbia Regional Airport,Columbia,MO,3,1403,10.109052031361369,56.463882103485346,2,38.81809,-92.21963
CPR,Natrona County International Airport,Casper,WY,2,1320,10.916666666666666,56.354119933326025,1,42.90836,-106.46447
CRP,Corpus Christi International Airport,Corpus Christi,TX,3,3679,2.8260396846969287,37.148529331374846,3,27.77036,-97.50122
CRW,Yeager Airport,Charleston,WV,2,3422,13.958796025715955,69.45124444694531,4,38.37315,-81.59319
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,0,39070,10.259201433324801,58.13238852296288,12,39.04614,-84.66217
