Dep_Airport,AIRPORT,CITY,STATE,Performance_Tier,total_flights,avg_dep_delay,delay_volatility,unique_airlines,LATITUDE,LONGITUDE
ILM,Wilmington International Airport,Wilmington,NC,0,7277,9.066236086299298,78.38719609459935,7,34.27061,-77.90256
IND,Indianapolis International Airport,Indianapolis,IN,0,44258,8.695377106963713,53.38391644549993,13,39.71733,-86.29438
ISP,Long Island MacArthur Airport,Islip,NY,2,4608,14.690538194444445,59.741950527275286,2,40.79524,-73.10021
ITO,Hilo International Airport,Hilo,HI,3,7152,3.6142337807606264,24.993559989994356,3,19.72026,-155.04847
JAC,Jackson Hole Airport,Jackson,WY,1,5103,17.63864393494023,86.8353557042149,5,43.60732,-110.73774
JAN,Jackson-Evers International Airport,Jackson,MS,3,7187,5.01252261026854,42.61115990076602,6,32.31117,-90.07589
JAX,Jacksonville International Airport,Jacksonville,FL,0,27983,14.311546295965407,71.10298701911357,12,30.49406,-81.68786
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,4,129620,15.742809751581547,57.34863737057597,8,40.63975,-73.77893
JNU,Juneau International Airport,Juneau,AK,3,4591,-0.1202352428664779,38.64997845347981,2,58.35496,-134.57628
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,3,17149,5.580616945594495,39.46679236842824,6,19.73877,-156.04563
KTN,Ketchikan International Airport,Ketchikan,AK,3,2438,1.326086956521739,45.292736619778715,2,55.35557,-131.71374
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,3,1276,5.105799373040752,49.23262681201847,4,42.7787,-84.58736
LAS,McCarran International Airport,Las Vegas,NV,4,188206,15.191959873755353,54.44220107365144,11,36.08036,-115.15233
LAX,Los Angeles International Airport,Los Angeles,CA,4,192260,11.172578799542286,52.132921704221516,10,33.94254,-118.40807
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,3,5651,8.589099274464697,58.462053177117696,4,33.66364,-101.82278
LCH,Lake Charles Regional Airport,Lake Charles,LA,3,1038,8.5616570327553,64.63968491500552,2,30.1261,-93.2234
LEX,Blue Grass Airport,Lexington,KY,0,7826,9.439304881165347,68.1506278241092,8,38.03697,-84.60539
LFT,Lafayette Regional Airport,Lafayette,LA,2,2888,11.615650969529085,61.655656204501426,4,30.20528,-91.98766
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,4,158801,10.730706985472384,50.36969671652198,10,40.77724,-73.87261
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,3,16340,9.142839657282742,29.822434514261655,4,33.81772,-118.15161
LIH,Lihue Airport,Lihue,HI,3,15968,6.23315380761523,49.35482856238234,6,21.97598,-159.33896
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,0,11520,9.947569444444444,56.6415880484725,10,34.7294,-92.22425
LRD,Laredo International Airport,Laredo,TX,2,1304,12.673312883435583,81.87040669821073,3,27.54374,-99.46154
MAF,Midland International Airport,Midland,TX,3,7788,5.637005649717514,41.54796401573481,5,31.94253,-102.20191
